game_id,player_name,team_abrev,kills,deaths,assists,adr,fk,fd
46,jawgemo,EG,15,19,4,145,4,4
46,eeiu,100T,18,17,15,165,1,0
46,bang,100T,24,17,8,164,1,5
46,Cryocells,100T,13,15,9,93,0,1
46,Asuna,100T,14,17,5,110,6,7
46,Boostio,100T,11,18,14,87,2,0
47,Derrek,EG,20,14,5,155,2,0
47,supamen,EG,15,16,7,130,2,3
47,NaturE,EG,15,18,8,136,2,1
47,Apoth,EG,6,17,2,105,1,4
47,jawgemo,EG,6,19,5,97,0,5
47,Cryocells,100T,25,13,1,199,7,2
47,eeiu,100T,19,9,5,161,2,1
47,Asuna,100T,14,13,24,132,2,1
47,bang,100T,14,12,12,137,1,1
47,Boostio,100T,12,15,6,138,1,2
48,Xeppaa,C9,,,,,,
48,vanity,C9,,,,,,
48,OXY,C9,,,,,,
48,runi,C9,,,,,,
48,moose,C9,,,,,,
48,Melser,KRÜ,,,,,,
48,keznit,KRÜ,,,,,,
48,mta,KRÜ,,,,,,
48,Shyy,KRÜ,,,,,,
48,heat,KRÜ,,,,,,
49,Xeppaa,C9,,,,,,
49,vanity,C9,,,,,,
49,OXY,C9,,,,,,
49,runi,C9,,,,,,
49,moose,C9,,,,,,
49,Melser,KRÜ,,,,,,
49,keznit,KRÜ,,,,,,
49,mta,KRÜ,,,,,,
49,Shyy,KRÜ,,,,,,
49,heat,KRÜ,,,,,,
50,Xeppaa,C9,,,,,,
50,vanity,C9,,,,,,
50,OXY,C9,,,,,,
50,runi,C9,,,,,,
50,moose,C9,,,,,,
50,Melser,KRÜ,,,,,,
50,keznit,KRÜ,,,,,,
50,mta,KRÜ,,,,,,
50,Shyy,KRÜ,,,,,,
50,heat,KRÜ,,,,,,
51,jawgemo,EG,,,,,,
51,Derrek,EG,,,,,,
51,NaturE,EG,,,,,,
51,supamen,EG,,,,,,
51,Apoth,EG,,,,,,
51,mazin,MIBR,,,,,,
51,artzin,MIBR,,,,,,
51,Palla,MIBR,,,,,,
51,rich,MIBR,,,,,,
51,liazzi,MIBR,,,,,,
52,jawgemo,EG,,,,,,
52,Derrek,EG,,,,,,
52,NaturE,EG,,,,,,
52,supamen,EG,,,,,,
52,Apoth,EG,,,,,,
52,mazin,MIBR,,,,,,
52,artzin,MIBR,,,,,,
52,Palla,MIBR,,,,,,
52,rich,MIBR,,,,,,
52,liazzi,MIBR,,,,,,
53,jawgemo,EG,,,,,,
53,Derrek,EG,,,,,,
53,NaturE,EG,,,,,,
53,supamen,EG,,,,,,
53,Apoth,EG,,,,,,
53,mazin,MIBR,,,,,,
53,artzin,MIBR,,,,,,
53,Palla,MIBR,,,,,,
53,rich,MIBR,,,,,,
53,liazzi,MIBR,,,,,,
54,kiNgg,LEV,,,,,,
54,Mazino,LEV,,,,,,
54,aspas,LEV,,,,,,
54,tex,LEV,,,,,,
54,C0M,LEV,,,,,,
54,Khalil,FUR,,,,,,
54,mwzera,FUR,,,,,,
54,havoc,FUR,,,,,,
54,nzr,FUR,,,,,,
54,xand,FUR,,,,,,
55,kiNgg,LEV,,,,,,
55,Mazino,LEV,,,,,,
55,aspas,LEV,,,,,,
55,tex,LEV,,,,,,
55,C0M,LEV,,,,,,
55,Khalil,FUR,,,,,,
55,mwzera,FUR,,,,,,
55,havoc,FUR,,,,,,
55,nzr,FUR,,,,,,
55,xand,FUR,,,,,,
56,kiNgg,LEV,,,,,,
56,Mazino,LEV,,,,,,
56,aspas,LEV,,,,,,
56,tex,LEV,,,,,,
56,C0M,LEV,,,,,,
56,Khalil,FUR,,,,,,
56,mwzera,FUR,,,,,,
56,havoc,FUR,,,,,,
56,nzr,FUR,,,,,,
56,xand,FUR,,,,,,
57,saadhak,LOUD,,,,,,
57,Less,LOUD,,,,,,
57,tuyz,LOUD,,,,,,
57,cauanzin,LOUD,,,,,,
57,pANcada,LOUD,,,,,,
57,Asuna,100T,,,,,,
57,bang,100T,,,,,,
57,Cryocells,100T,,,,,,
57,eeiu,100T,,,,,,
57,Boostio,100T,,,,,,
58,saadhak,LOUD,,,,,,
58,Less,LOUD,,,,,,
58,tuyz,LOUD,,,,,,
58,cauanzin,LOUD,,,,,,
58,pANcada,LOUD,,,,,,
58,Asuna,100T,,,,,,
58,bang,100T,,,,,,
58,Cryocells,100T,,,,,,
58,eeiu,100T,,,,,,
58,Boostio,100T,,,,,,
59,saadhak,LOUD,,,,,,
59,Less,LOUD,,,,,,
59,tuyz,LOUD,,,,,,
59,cauanzin,LOUD,,,,,,
59,pANcada,LOUD,,,,,,
59,Asuna,100T,,,,,,
59,bang,100T,,,,,,
59,Cryocells,100T,,,,,,
59,eeiu,100T,,,,,,
59,Boostio,100T,,,,,,
60,TenZ,SEN,,,,,,
60,zekken,SEN,,,,,,
60,Sacy,SEN,,,,,,
60,johnqt,SEN,,,,,,
60,Zellsis,SEN,,,,,,
60,trent,G2,,,,,,
60,valyn,G2,,,,,,
60,JonahP,G2,,,,,,
60,leaf,G2,,,,,,
60,icy,G2,,,,,,
61,TenZ,SEN,,,,,,
61,zekken,SEN,,,,,,
61,Sacy,SEN,,,,,,
61,johnqt,SEN,,,,,,
61,Zellsis,SEN,,,,,,
61,trent,G2,,,,,,
61,valyn,G2,,,,,,
61,JonahP,G2,,,,,,
61,leaf,G2,,,,,,
61,icy,G2,,,,,,
62,TenZ,SEN,,,,,,
62,zekken,SEN,,,,,,
62,Sacy,SEN,,,,,,
62,johnqt,SEN,,,,,,
62,Zellsis,SEN,,,,,,
62,trent,G2,,,,,,
62,valyn,G2,,,,,,
62,JonahP,G2,,,,,,
62,leaf,G2,,,,,,
62,icy,G2,,,,,,
