player_id,series_id,game_id,agent,agent_role,kills,deaths,assists,fk,fd,clutches,aces,adr,points
45,6,13,Gekko,Initiator,16.0,17.0,2.0,1.0,1.0,0,0,186.0,28.1
10,6,13,Brimstone,Controller,12.0,17.0,4.0,1.0,1.0,0,0,114.0,17.9
57,6,13,Fade,Initiator,7.0,16.0,6.0,1.0,2.0,1,0,87.0,12.700000000000001
44,6,13,Raze,Duelist,8.0,17.0,4.0,3.0,3.0,1,0,85.0,15.0
32,6,13,Viper,Controller,5.0,16.0,4.0,1.0,4.0,2,0,75.0,8.5
35,6,14,Neon,Duelist,23.0,14.0,5.0,8.0,3.0,0,0,252.0,56.7
6,6,14,Fade,Initiator,15.0,10.0,10.0,1.0,0.0,0,0,185.0,35.5
15,6,14,Breach,Initiator,17.0,8.0,9.0,1.0,0.0,1,0,153.0,36.8
51,6,14,Omen,Controller,12.0,7.0,8.0,1.0,2.0,1,0,100.0,24.5
1,6,14,Cypher,Sentinel,8.0,10.0,5.0,0.0,1.0,0,0,84.0,12.9
32,6,14,Cypher,Sentinel,14.0,14.0,1.0,1.0,4.0,1,1,130.0,23.5
45,6,14,Breach,Initiator,13.0,14.0,5.0,1.0,0.0,0,0,144.0,24.9
10,6,14,Omen,Controller,10.0,15.0,2.0,0.0,1.0,0,0,125.0,15.0
44,6,14,Neon,Duelist,9.0,16.0,5.0,4.0,4.0,0,0,109.0,18.4
57,6,14,Kayo,Unknown,3.0,16.0,5.0,0.0,2.0,0,0,44.0,-0.09999999999999964
50,8,17,Kayo,Unknown,19.0,11.0,14.0,2.0,1.0,1,0,182.0,43.7
54,8,17,Jett,Duelist,20.0,13.0,5.0,3.0,3.0,0,1,176.0,39.6
12,8,17,Cypher,Sentinel,16.0,11.0,4.0,3.0,1.0,0,0,122.0,29.700000000000003
46,8,17,Omen,Controller,16.0,11.0,5.0,1.0,1.0,1,0,142.0,30.200000000000003
29,8,17,Sova,Initiator,15.0,12.0,4.0,3.0,2.0,0,0,132.0,28.200000000000003
41,8,17,Omen,Controller,14.0,14.0,3.0,0.0,0.0,2,0,133.0,25.8
